"DateTime","Final price","Flags"
"2021-09-21 16:50:11",11.24,
"2021-09-28 17:10:58",12.49,
"2021-11-24 18:14:28",9.99,
"2021-12-01 18:20:54",12.49,
"2021-12-22 18:05:21",9.99,
"2022-01-05 18:58:26",12.49,
"2022-01-27 18:24:25",9.99,
"2022-02-03 18:24:37",12.49,
"2022-02-21 18:22:56",9.36,
"2022-02-23 18:02:17",12.49,
"2022-03-28 17:23:12",9.99,
"2022-04-04 17:23:09",12.49,
"2022-06-23 17:27:24",8.74,
"2022-06-23 17:30:52",8.74,
"2022-07-07 17:24:53",12.49,
"2022-08-04 17:02:33",8.74,
"2022-08-11 17:02:42",12.49,
"2022-11-22 18:11:50",9.99,
"2022-11-29 18:24:32",12.49,
"2022-12-13 17:00:07",,
"2022-12-13 17:05:02",9.99,
"2022-12-20 18:02:28",12.49,
"2022-12-22 18:25:22",9.99,
"2023-01-05 18:25:05",12.49,
"2023-01-20 18:02:24",9.99,
"2023-01-27 18:22:30",12.49,
"2023-03-03 18:02:32",9.99,
"2023-03-10 18:02:25",12.49,
"2023-03-16 17:24:25",8.11,
"2023-03-23 17:24:32",12.49,
"2023-04-13 17:15:04",8.74,
"2023-04-20 17:02:34",12.49,
"2023-05-26 17:02:54",8.11,
"2023-06-02 17:02:36",12.49,
"2023-06-29 17:30:34",8.11,
"2023-06-30 13:54:10",8.11,
