"DateTime","Final price","Flags"
"2020-09-23 17:00:07",12.59,
"2020-09-23 17:50:07",0,
"2020-09-23 17:55:07",12.59,
"2020-10-07 17:03:15",16.79,
"2020-11-24 18:00:09",12.59,
"2020-12-01 19:05:58",16.79,
"2020-12-22 18:13:38",12.59,
"2021-01-05 18:56:26",16.79,
"2021-02-11 18:08:45",10.07,
"2021-02-15 19:03:22",16.79,
"2021-03-25 17:07:19",10.07,
"2021-03-29 17:46:00",16.79,
"2021-06-24 17:35:58",8.39,
"2021-07-08 17:56:23",16.79,
"2021-07-28 17:09:42",8.39,
"2021-08-02 17:24:31",16.79,
"2021-09-30 17:16:46",8.39,
"2021-10-07 17:10:38",16.79,
"2021-11-24 18:09:08",8.39,
"2021-12-01 18:21:37",16.79,
"2021-12-22 18:03:59",8.39,
"2022-01-05 18:10:03",16.79,
"2022-01-27 18:23:18",8.39,
"2022-02-03 18:23:20",16.79,
"2022-02-28 18:22:32",8.39,
"2022-03-08 07:02:05",16.79,
"2022-04-07 07:05:04",8.39,
"2022-04-11 17:02:22",16.79,
"2022-06-18 17:01:58",16.79,
"2022-06-23 17:24:54",8.39,
"2022-06-23 17:27:26",8.39,
"2022-07-07 17:23:35",16.79,
"2022-09-29 17:05:05",8.39,
"2022-10-06 17:02:16",16.79,
"2022-11-22 18:17:16",8.39,
"2022-11-29 18:27:49",16.79,
"2022-12-22 18:17:02",8.39,
"2023-01-05 18:28:58",16.79,
"2023-02-13 18:22:23",8.39,
"2023-02-19 18:02:02",16.79,
"2023-03-16 17:31:57",8.39,
"2023-03-23 17:23:20",16.79,
"2023-06-21 17:02:01",8.39,
"2023-06-29 13:57:14",8.39,
