"DateTime","Final price","Flags"
"2018-02-28 08:20:42",22.99,
"2018-04-24 21:20:02",20.69,
"2018-04-27 17:10:39",22.99,
"2018-05-10 17:10:57",17.24,
"2018-05-14 17:13:08",22.99,
"2018-06-21 23:09:08",17.24,
"2018-07-05 17:49:16",22.99,
"2018-09-04 17:10:34",16.09,
"2018-09-07 17:10:36",22.99,
"2018-10-29 17:45:11",17.24,
"2018-11-01 18:51:50",22.99,
"2018-11-13 18:20:32",17.24,
"2018-11-18 18:30:14",22.99,
"2018-11-21 18:55:58",17.24,
"2018-11-27 19:25:05",22.99,
"2018-12-20 18:48:14",17.24,
"2019-01-03 20:06:14",22.99,
"2019-02-04 19:43:31",17.24,
"2019-02-11 21:58:39",22.99,
"2019-02-28 18:10:57",17.24,
"2019-03-04 18:23:50",22.99,
"2019-03-28 16:10:16",27.99,
"2019-05-22 17:10:36",18.75,
"2019-05-28 17:11:03",27.99,
"2019-06-25 22:12:54",18.19,
"2019-07-09 20:22:49",27.99,
"2019-09-12 17:12:14",18.19,
"2019-09-18 17:10:17",27.99,
"2019-10-28 19:43:31",20.99,
"2019-11-01 17:18:56",27.99,
"2019-11-10 16:29:55",24.91,
"2019-11-12 17:24:08",27.99,
"2019-11-21 18:02:52",18.75,
"2019-11-26 17:55:53",27.99,
"2019-11-26 18:08:30",18.75,
"2019-12-03 18:11:45",27.99,
"2019-12-19 18:09:48",18.75,
"2020-01-02 18:13:46",27.99,
"2020-01-23 18:11:25",19.59,
"2020-01-27 18:52:36",27.99,
"2020-02-27 18:21:04",13.99,
"2020-03-12 18:12:33",27.99,
"2020-04-03 19:20:29",29.99,
"2020-05-13 13:00:00",,
"2020-06-25 17:13:55",22.49,
"2020-07-09 18:05:48",29.99,
"2020-09-10 17:01:29",20.99,
"2020-09-28 17:23:09",29.99,
"2020-10-29 17:03:19",20.99,
"2020-11-02 19:13:42",29.99,
"2020-11-25 18:07:25",20.99,
"2020-12-08 18:10:53",29.99,
"2020-12-22 18:06:33",0,
"2020-12-22 18:45:07",20.99,
"2021-01-05 19:48:45",29.99,
"2021-02-11 18:07:28",19.49,
"2021-02-15 19:32:27",29.99,
"2021-02-25 18:08:54",19.49,
"2021-03-14 17:05:18",29.99,
"2021-05-13 17:09:29",17.99,
"2021-05-22 17:05:28",29.99,
"2021-06-22 17:06:35",14.99,
"2021-07-08 18:22:38",29.99,
"2021-09-14 17:12:34",19.49,
"2021-09-21 17:05:24",29.99,
"2021-11-04 17:10:24",14.99,
"2021-11-15 18:01:57",29.99,
"2021-11-24 18:08:32",14.99,
"2021-12-01 18:20:35",29.99,
"2021-12-22 18:02:37",14.99,
"2022-01-05 18:21:03",29.99,
"2022-01-27 18:22:28",14.99,
"2022-02-03 18:22:28",29.99,
"2022-02-24 18:01:45",14.99,
"2022-03-07 18:40:15",29.99,
"2022-04-28 10:05:02",14.99,
"2022-05-05 10:05:02",29.99,
"2022-06-09 17:01:45",9.89,
"2022-07-07 17:22:31",29.99,
"2022-08-05 17:01:44",14.99,
"2022-08-12 17:01:44",29.99,
"2022-09-15 17:10:03",14.99,
"2022-09-29 17:01:47",29.99,
"2022-11-03 17:10:03",9.89,
"2022-11-17 18:01:47",29.99,
"2022-11-22 18:09:41",9.89,
"2022-11-29 18:22:30",29.99,
"2022-12-15 18:01:47",9.9,
"2022-12-22 18:20:53",9.89,
"2023-01-05 18:28:27",29.99,
"2023-01-21 18:05:03",9.89,
"2023-01-31 18:01:49",29.99,
"2023-03-02 18:01:46",9.89,
"2023-03-23 17:22:29",29.99,
"2023-04-20 17:01:45",9.89,
"2023-05-04 17:01:47",29.99,
"2023-06-15 17:01:49",9.89,
"2023-06-29 13:31:17",9.89,
